Código CNH,Nombre,Comunidad Autónoma,Provincia,Municipio,Dirección,Código Postal,Teléfono,Telefax,Número de camas instaladas,Dependencia Patrimonial,Dependencia Funcional,Finalidad Asistencial,Observaciones,Concierto,Acreditación Docente,lat,lon
250175,RESIDÈNCIA TERRAFERMA,CATALUÑA,LLEIDA,Alpicat,"CR PARTIDA DEL GRAÓ, S/N",25110,973737455.0,973737001.0,137.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GERIATRÍA Y/O LARGA ESTANCIA,,NO,NO,,
310142,CLÍNICA PSICOGERIÁTRICA JOSEFINA ARREGUI,C. FORAL DE NAVARRA,NAVARRA,Altsasu/Alsasua,ERBURU S/N,31800,948563850.0,948563961.0,21.0,OTRO PRIVADO BENÉFICO,OTRO PRIVADO-BENÉFICO,PSIQUIÁTRICO,,SI,NO,42.89870065,-2.1715503458831886
460351,HOSPITAL UNIVERSITARIO DE LA RIBERA,COMUNIDAD VALENCIANA,VALENCIA,Alzira,"CARRETERA DE CORBERA, KM 1",46600,962458100.0,962458159.0,301.0,COMUNIDAD AUTÓNOMA,CONSELLERIA DE SANIDAD. G. VALENCIANA,GENERAL,,NO,SI,39.1594884,-0.41597204697452117
81350,CENTRE POLIVALENT CAN FOSC,CATALUÑA,BARCELONA,"Ametlla del Vallès, L'","CT DE LLERONA, S/N",8480,938432786.0,,56.0,COMUNIDAD AUTÓNOMA,OTRO PRIVADO-BENÉFICO,GERIATRÍA Y/O LARGA ESTANCIA,,NO,NO,,
430252,HOSPITAL COMARCAL D'AMPOSTA,CATALUÑA,TARRAGONA,Amposta,"CR JACINT VERDAGUER, 11",43870,977700050.0,977702894.0,88.0,MUNICIPIO,MUNICIPIO,GENERAL,,,NO,40.7068178,0.5806326
430287,UNITAT POLIVALENT EN SALUT MENTAL D'AMPOSTA,CATALUÑA,TARRAGONA,Amposta,"CR AMÈRICA, 15",43870,977338565.0,,127.0,OTRO PRIVADO BENÉFICO,OTRO PRIVADO-BENÉFICO,PSIQUIÁTRICO,,NO,NO,,
230145,HOSPITAL ALTO GUADALQUIVIR,ANDALUCÍA,JAÉN,Andújar,"AV. BLAS INFANTE, S/N",23740,953021575.0,953021405.0,67.0,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,GENERAL,Empresa Pública,NO,NO,38.04019925,-4.0308082966568906
290154,HOSPITAL DE ANTEQUERA,ANDALUCÍA,MALAGA,Antequera,"AVDA. POETA MUÑOZ ROJAS, S/N",29200,951061008.0,951291009.0,159.0,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,GENERAL,,NO,SI,37.0183652,-4.5596649
90079,HOSPITAL SANTOS REYES,CASTILLA Y LEÓN,BURGOS,Aranda de Duero,"AV. RUPERTA BARAYA, 6",9400,947522000.0,947522012.0,123.0,OTRO PRIVADO BENÉFICO,SANIDAD CASTILLA Y LEÓN-SACYL,GENERAL,,NO,NO,41.66964395,-3.691598144534712
90085,HOSPITAL RESIDENCIA ASISTIDA DE LA LUZ,CASTILLA Y LEÓN,BURGOS,Aranda de Duero,"DURATÓN, 2",9400,947500150.0,947507583.0,75.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GERIATRÍA Y/O LARGA ESTANCIA,,SI,NO,,
281292,HOSPITAL UNIVERSITARIO DEL TAJO,MADRID,MADRID,Aranjuez,"AVDA. AMAZONAS CENTRAL, S/N",28300,918014101.0,918014302.0,98.0,COMUNIDAD AUTÓNOMA,SERVICIO MADRILEÑO DE SALUD,GENERAL,,NO,NO,,
81616,COMUNITAT TERAPÈUTICA ARENYS DE MUNT,CATALUÑA,BARCELONA,Arenys de Munt,CT BARRI ORIENT  26,8358,937938006.0,937951037.0,42.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,PSIQUIÁTRICO,,NO,NO,,
50072,HOSPITAL DE SALUD MENTAL CASTA SALUD ARÉVALO,CASTILLA Y LEÓN,ÁVILA,Arévalo,"PASEO SAN JUAN BOSCO, 2",5200,920301400.0,920300951.0,80.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,PSIQUIÁTRICO,,SI,NO,,
281281,HOSPITAL UNIVERSITARIO DEL SURESTE,MADRID,MADRID,Arganda del Rey,"RONDA DEL SUR, 10",28500,918394454.0,918394278.0,132.0,COMUNIDAD AUTÓNOMA,SERVICIO MADRILEÑO DE SALUD,GENERAL,,NO,NO,,
81568,ITA MARESME,CATALUÑA,BARCELONA,Argentona,"CR BARÓ DE VIVER, 58",8310,937530062.0,937533288.0,77.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,OTROS MONOGRÁFICOS,,NO,NO,41.54705145,2.3992675917026003
82213,CENTRE D'HOSPITALITZACIÓ I HOSPITAL DE DIA TRASTORNS DE LA CONDUCTA,CATALUÑA,BARCELONA,Argentona,"CR CIRÉS, S/N",8310,937533006.0,937533288.0,40.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,PSIQUIÁTRICO,,NO,NO,,
380348,HOSPITAL DEL SUR,CANARIAS,SANTA CRUZ DE TENERIFE,Arona,"CARRETERA DE ARONA S/N, EL MOJÓN",38650,922174740.0,922174743.0,0.0,COMUNIDAD AUTÓNOMA,SERVICIO CANARIO DE SALUD,GENERAL,,NO,SI,28.069122450000002,-16.705016866108814
380146,HOSPITEN SUR,CANARIAS,SANTA CRUZ DE TENERIFE,Arona,"SIETE ISLAS, 8 (PLAYA DE LAS AMÉRICAS)",38660,922750022.0,922793618.0,242.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,SI,NO,28.058582450000003,-16.72487357452235
200185,ORGANIZACIÓN SANITARIA INTEGRADA ALTO DEBA,PAÍS VASCO,GUIPÚZCOA,Arrasate/Mondragón,"AVDA. NAVARRA, 16",20500,943035300.0,943035314.0,90.0,COMUNIDAD AUTÓNOMA,SERVICIO VASCO DE SALUD-OSAKIDETZA,GENERAL,,NO,SI,,
200202,HOSPITAL PSIQUIÁTRICO SAN JUAN DE DIOS,PAÍS VASCO,GUIPÚZCOA,Arrasate/Mondragón,"BARRIO GESALIBAR, 14",20509,943793900.0,943770719.0,299.0,PRIVADO-BENÉFICO (IGLESIA),PRIVADO-BENÉFICO (IGLESIA),PSIQUIÁTRICO,,SI,NO,,
200198,HOSPITAL AITA MENNI,PAÍS VASCO,GUIPÚZCOA,Arrasate/Mondragón,"BARRIO GESALIBAR, 15",20509,943794411.0,943796161.0,442.0,PRIVADO-BENÉFICO (IGLESIA),PRIVADO-BENÉFICO (IGLESIA),PSIQUIÁTRICO,,SI,NO,43.0627272,-2.5294037
350249,HOSPITAL INSULAR DE LANZAROTE,CANARIAS,LAS PALMAS,Arrecife,"JUAN DE QUESADA, S/N",35500,928810000.0,928812263.0,80.0,DIPUTACIÓN O CABILDO,DIPUTACIÓN O CABILDO,GERIATRÍA Y/O LARGA ESTANCIA,,SI,SI,28.9635377,-13.543453570997048
350228,HOSPITAL DOCTOR JOSÉ MOLINA OROSA,CANARIAS,LAS PALMAS,Arrecife,"CTRA. ARRECIFE-TINAJO, KM. 1,3",35500,928595103.0,928815034.0,292.0,SEGURIDAD SOCIAL,SERVICIO CANARIO DE SALUD,GENERAL,,NO,SI,,
330100,"HOSPITAL  UNIVERSITARIO ""SAN AGUSTÍN""",PPDO. DE ASTURIAS,ASTURIAS,Avilés,"CAMINO DE HEROS, 6",33401,985123000.0,985123010.0,436.0,SEGURIDAD SOCIAL,SERVICIO DE SALUD DEL PRINCIPADO DE ASTURIAS-SESPA,GENERAL,,NO,SI,40.6192498,-3.152988
330117,FUNDACIÓN HOSPITAL DE AVILÉS,PPDO. DE ASTURIAS,ASTURIAS,Avilés,"CABRUÑANA, 19",33401,985563954.0,985525236.0,90.0,OTRO PRIVADO BENÉFICO,OTRO PRIVADO-BENÉFICO,MÉDICO-QUIRÚRGICO,,SI,NO,43.55461725,-5.926359490561223
80667,HOSPITAL UNIVERSITARI GERMANS TRIAS I PUJOL DE BADALONA,CATALUÑA,BARCELONA,Badalona,"CR CANYET, S/N",8916,934651200.0,934978843.0,516.0,SEGURIDAD SOCIAL,INSTITUTO CATALÁN DE LA SALUD,GENERAL,,,SI,41.4810542,2.2381723732976044
80689,CENTRE SOCIOSANITARI EL CARME,CATALUÑA,BARCELONA,Badalona,"CM SANT JERONI DE LA MURTRA,, 60",8917,935074710.0,934644905.0,210.0,MUNICIPIO,MUNICIPIO,GERIATRÍA Y/O LARGA ESTANCIA,,NO,NO,41.4591142,2.2313871226874964
81694,INSTITUT CATALÀ D'ONCOLOGIA - HOSPITAL GERMANS TRIAS I PUJOL,CATALUÑA,BARCELONA,Badalona,"CT CANYET, S/N",8916,934651200.0,934978843.0,36.0,ENTIDADES PÚBLICAS,OTROS PÚBLICOS,ONCOLÓGICO,,,NO,,
80673,HOSPITAL MUNICIPAL DE BADALONA,CATALUÑA,BARCELONA,Badalona,"VI AUGUSTA,, 9",8911,934648300.0,934648391.0,140.0,MUNICIPIO,MUNICIPIO,GENERAL,,,SI,,
80333,INSTITUT GUTTMANN,CATALUÑA,BARCELONA,Badalona,"CM CAN RUTI, S/N",8916,934977700.0,934977707.0,152.0,OTRO PRIVADO BENÉFICO,OTRO PRIVADO-BENÉFICO,TRAUMATOLOGÍA Y/O REHABILITACIÓN,,,NO,41.478879000000006,2.2369953546302686
250169,HESTIA BALAGUER.,CATALUÑA,LLEIDA,Balaguer,"CR GREGORI GALLEGO, 22-28",25600,973450304.0,973451321.0,120.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GERIATRÍA Y/O LARGA ESTANCIA,,NO,NO,41.78901315,0.8197268915156748
170097,CLÍNICA SALUS INFIRMORUM,CATALUÑA,GIRONA,Banyoles,"PS MOSSÈN LLUÍS CONSTANS, 130",17820,972570208.0,972573202.0,100.0,PRIVADO-BENÉFICO (IGLESIA),PRIVADO-BENÉFICO (IGLESIA),GERIATRÍA Y/O LARGA ESTANCIA,,,NO,42.114773850000006,2.7609439325545218
480176,HOSPITAL UNIVERSITARIO DE CRUCES,PAÍS VASCO,VIZCAYA,Barakaldo,"PZA DE CRUCES, 12",48903,946006000.0,946006067.0,912.0,SEGURIDAD SOCIAL,SERVICIO VASCO DE SALUD-OSAKIDETZA,GENERAL,,NO,SI,43.2824977,-2.98431169940688
480182,OSI BARAKALDO-SESTAO,PAÍS VASCO,VIZCAYA,Barakaldo,"AV. ANTONIO MIRANDA, 5",48902,944006700.0,944006727.0,128.0,SEGURIDAD SOCIAL,SERVICIO VASCO DE SALUD-OSAKIDETZA,GENERAL,,NO,SI,,
320034,HOSPITAL SANTO CRISTO DE PIÑOR (PSIQUIATRICO),GALICIA,OURENSE,Barbadás,"ESTRADA DE PIÑOR, S/N",32930,988385500.0,988385551.0,0.0,ENTIDADES PÚBLICAS,SERVICIO GALLEGO DE SALUD-SERGAS,GENERAL,,NO,SI,,
220054,HOSPITAL DE BARBASTRO,ARAGÓN,HUESCA,Barbastro,"CTRA. NACIONAL 240, S/N",22300,974249000.0,974249074.0,172.0,SEGURIDAD SOCIAL,SERVICIO ARAGONÉS DE SALUD-SALUD,GENERAL,,NO,NO,42.035291,0.1273884
320126,HOSPITAL DE VALDEORRAS (*),GALICIA,OURENSE,"Barco de Valdeorras, O","CONDE DE FENOSA, 50",32300,988339000.0,988339064.0,100.0,SEGURIDAD SOCIAL,SERVICIO GALLEGO DE SALUD-SERGAS,GENERAL,RM compartida (3 unidades móviles RM),NO,NO,42.34834155,-6.965998212216206
110282,HOSPITAL QUIRÓN CAMPO DE GIBRALTAR,ANDALUCÍA,CÁDIZ,"Barrios, Los","PARQUE EMPRESARIAL \""LAS MARISMAS DE PALMONES\"," EDIFICIO ARTTYSUR""",11379.0,956798301.0,,64,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,NO,36.1851682,-5.431207982008857
180093,HOSPITAL DE BAZA,ANDALUCÍA,GRANADA,Baza,"CTRA. DE MURCIA, KM. 1,6",18800,958031303.0,958031392.0,117.0,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,GENERAL,,NO,SI,37.4888637,-2.7709805
310109,CENTRO HOSPITALARIO BENITO MENNI,C. FORAL DE NAVARRA,NAVARRA,Baztan,"MENDINUETA, S/N.",31700,948452162.0,948452478.0,148.0,PRIVADO-BENÉFICO (IGLESIA),PRIVADO-BENÉFICO (IGLESIA),PSIQUIÁTRICO,,SI,NO,41.62779285,-4.722582926373626
290427,HOSPITAL DE ALTA RESOLUCIÓN DE BENALMÁDENA,ANDALUCÍA,MALAGA,Benalmádena,"AVDA. ARROYO HONDO, S/N",29630,951976000.0,951976093.0,46.0,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,GENERAL,,NO,NO,,
290405,XANIT HOSPITAL INTERNACIONAL,ANDALUCÍA,MALAGA,Benalmádena,"AVDA. DE LOS ARGONAUTAS, S/N (ARROYO DE LA MIEL-BENALMÁDENA COSTA)",29630,952443119.0,952576661.0,125.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,NO,NO,,
290393,FUNDACIÓN CUDECA. CENTRO DE CUIDADOS PALIATIVOS,ANDALUCÍA,MALAGA,Benalmádena,"AVDA. DEL COSMOS, S/N (ARROYO DE LA MIEL-BENALMÁDENA COSTA)",29631,952564910.0,952564922.0,15.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,OTROS MONOGRÁFICOS,,NO,NO,,
490065,HOSPITAL DE BENAVENTE,CASTILLA Y LEÓN,ZAMORA,Benavente,"LUISA MOZO, 6",49600,980631900.0,980630105.0,0.0,COMUNIDAD AUTÓNOMA,SANIDAD CASTILLA Y LEÓN-SACYL,GENERAL,,SI,NO,42.0032862,-5.6738595
30279,CENTRO MÉDICO ACUARIO,COMUNIDAD VALENCIANA,ALICANTE,Beniarbeig,"AVENIDA DEL VERGEL, 11",3778,966476260.0,966477115.0,19.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,NO,NO,,
30092,HOSPITAL CLÍNICA BENIDORM,COMUNIDAD VALENCIANA,ALICANTE,Benidorm,"AVENIDA ALFONSO PUCHADES, 8",3501,965853850.0,965864345.0,166.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,SI,SI,38.543056,-0.12930062356423858
80692,HOSPITAL COMARCAL DE SANT BERNABÉ,CATALUÑA,BARCELONA,Berga,"CT DE RIBES, S/N",8600,938243400.0,938243416.0,150.0,ENTIDADES PÚBLICAS,PRIVADO NO BENÉFICO,GENERAL,,,NO,,
480195,RED DE SALUD MENTAL DE BIZKAIA (HOSPITAL DE BERMEO),PAÍS VASCO,VIZCAYA,Bermeo,"TOMPOI BIDEA, S/N",48370,946029000.0,946029020.0,131.0,COMUNIDAD AUTÓNOMA,SERVICIO VASCO DE SALUD-OSAKIDETZA,PSIQUIÁTRICO,,NO,SI,,
460168,HOSPITAL PSIQUIÁTRICO PROVINCIAL,COMUNIDAD VALENCIANA,VALENCIA,Bétera,"CARRETERA BURJASSOT - TORRES TORRES, KM 9",46117,961699080.0,961699052.0,80.0,DIPUTACIÓN O CABILDO,DIPUTACIÓN O CABILDO,PSIQUIÁTRICO,,NO,NO,,
170101,HOSPITAL DE SANT JAUME,CATALUÑA,GIRONA,Blanes,"CR JAUME ARCELOS, 1",17300,972331550.0,972333679.0,23.0,OTRO PRIVADO BENÉFICO,OTROS PÚBLICOS,GERIATRÍA Y/O LARGA ESTANCIA,,NO,NO,42.1872302,2.0242654013144588
170237,HOSPITAL COMARCAL DE BLANES,CATALUÑA,GIRONA,Blanes,"CT ACCÉS CALA SANT FRANCESC, 5",17300,972353264.0,972353343.0,121.0,ENTIDADES PÚBLICAS,OTROS PÚBLICOS,GENERAL,,,NO,,
281090,HOSPITAL UNIVERSITARIO HM  MONTEPRÍNCIPE,MADRID,MADRID,Boadilla del Monte,"AV. MONTEPRÍNCIPE, 25",28660,917089900.0,912110118.0,170.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,SI,SI,,
410212,RESIDENCIA DE SALUD MENTAL NUESTRA SEÑORA DEL CARMEN,ANDALUCÍA,SEVILLA,Bormujos,"AV. RIO PUDIO, S/N",41930,955723391.0,954905674.0,54.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,PSIQUIÁTRICO,,NO,NO,,
410353,HOSPITAL SAN JUAN DE DIOS DEL ALJARAFE,ANDALUCÍA,SEVILLA,Bormujos,"AVDA. SAN JUAN DE DIOS, S/N",41930,955050550.0,955059162.0,200.0,PRIVADO-BENÉFICO (IGLESIA),SERVICIO ANDALUZ DE SALUD,GENERAL,,SI,SI,,
380316,HOSPITAL GENERAL DE LA PALMA,CANARIAS,SANTA CRUZ DE TENERIFE,Breña Alta,"CARRETERA LA CUMBRE, 28. BUENAVISTA DE ARRIBA",38713,922185000.0,922185084.0,198.0,COMUNIDAD AUTÓNOMA,SERVICIO CANARIO DE SALUD,GENERAL,,NO,SI,28.6726357,-17.790392194539308
281180,HOSPITAL LOS MADROÑOS,MADRID,MADRID,Brunete,"CRTRA. M-501 KM 17,900 (VÍA DE SERVICIO)",28690,918163526.0,918159728.0,53.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,SI,NO,36.7727255,-3.6230213
70162,HOSPITAL JOAN MARCH,ILLES BALEARS,ILLES BALEARS,Bunyola,CTRA. PALMA-SÓLLER KM. 12,7110,871202000.0,871202497.0,106.0,COMUNIDAD AUTÓNOMA,COMUNIDAD AUTÓNOMA,GERIATRÍA Y/O LARGA ESTANCIA,,SI,SI,39.67882475,2.6883094554984575
270095,HOSPITAL PUBLICO DA MARIÑA (*),GALICIA,LUGO,Burela,"MEDICO VIOR, S/N",27880,982589901.0,982589908.0,139.0,SEGURIDAD SOCIAL,SERVICIO GALLEGO DE SALUD-SERGAS,GENERAL,RM compartida (3 unidades móviles RM),NO,NO,,
460404,IMED VALENCIA,COMUNIDAD VALENCIANA,VALENCIA,Burjassot,"CALLE FERROCARRIL, 57",46100,963003003.0,966263079.0,207.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,SI,NO,38.28806295,-0.6163641948075638
140116,HOSPITAL INFANTA MARGARITA,ANDALUCÍA,CÓRDOBA,Cabra,"AV. DE GÓNGORA, S/N",14940,957021300.0,957021322.0,232.0,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,GENERAL,,NO,SI,37.4685126,-4.4246365
100015,HOSPITAL SAN PEDRO DE ALCÁNTARA,EXTREMADURA,CÁCERES,Cáceres,"AV. PABLO NARANJO, S/N",10003,927256200.0,927256202.0,0.0,COMUNIDAD AUTÓNOMA,SERVICIO EXTREMEÑO DE SALUD-SES,GENERAL,,NO,SI,39.46554175,-6.368229221078827
100020,HOSPITAL PROVINCIAL NUESTRA SEÑORA DE LA MONTAÑA,EXTREMADURA,CÁCERES,Cáceres,"AV. DE ESPAÑA, S/N",10001,927256800.0,927256816.0,0.0,COMUNIDAD AUTÓNOMA,SERVICIO EXTREMEÑO DE SALUD-SES,GENERAL,,NO,SI,,
260099,FUNDACIÓN HOSPITAL CALAHORRA,LA RIOJA,LA RIOJA,Calahorra,"CTRA. LOGROÑO, S/N",26500,941151003.0,941151103.0,80.0,SEGURIDAD SOCIAL,SERVICIO RIOJANO DE SALUD,GENERAL,Fundación Pública,SI,NO,37.8756267,-4.7765896854308405
260132,CENTRO  SOCIOSANITARIO  DE CONVALECENCIA NUESTRA SEÑORA VIRGEN DEL CARMEN,LA RIOJA,LA RIOJA,Calahorra,SANTIAGO RAMÓN Y CAJAL S/N,26500,941010000.0,941010001.0,75.0,COMUNIDAD AUTÓNOMA,PRIVADO NO BENÉFICO,GERIATRÍA Y/O LARGA ESTANCIA,,NO,NO,,
500153,HOSPITAL ERNEST LLUCH MARTIN,ARAGÓN,ZARAGOZA,Calatayud,"CTRA. DE SAGUNTO-BURGOS, KM. 254",50300,976880964.0,976880470.0,122.0,SEGURIDAD SOCIAL,SERVICIO ARAGONÉS DE SALUD-SALUD,GENERAL,,NO,SI,41.3843547,2.1019053154910337
81311,RESIDÈNCIA SANTA SUSANNA,CATALUÑA,BARCELONA,Caldes de Montbui,"CR FONT I BOET, 16",8140,938654994.0,938653619.0,64.0,OTRO PRIVADO BENÉFICO,OTRO PRIVADO-BENÉFICO,GERIATRÍA Y/O LARGA ESTANCIA,,NO,NO,,
80706,HOSPITAL COMARCAL SANT JAUME DE CALELLA,CATALUÑA,BARCELONA,Calella,"CR SANT JAUME, 209-217",8370,937690201.0,937694411.0,233.0,MUNICIPIO,OTROS PÚBLICOS,GENERAL,,,SI,41.6150516,2.6566914851021
